Event,Start time,End time,Building Name/Room Number,Website,Event Description/Agenda,Sponsoring Organization,Event Contact,Event Contact Position/Department,Event Contact Phone,Event Contact Email,Street Address,Latitude,Longitude,Location,Event Info Url,Classification
Community Technology Advisory Board (CTAB),09/13/2016 06:00:00 PM,09/13/2016 08:00:00 PM,"Seattle Municipal Tower, 700 5th Ave, (5th and Columbia) in the 27th floor conference room (2750, to the right off elevators) ",http://seattle.gov/ctab,,Seattle Department of Information Technology ,David Keyes ,,206-386-9759 ,communitytechnology@seattle.gov,,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117277139,civic
City of Seattle/University of Washington Committee Advisory Committee (CUCAC),09/13/2016 06:30:00 PM,09/13/2016 08:30:00 PM,,http://www.seattle.gov/neighborhoods/major-institutions-and-schools/major-institution-citizen-advisory-committees/university-of-washington,,,Maureen Sheehan ,,206.684.0302 ,maureen.sheehan@seattle.gov,4333 Brooklyn Ave NE,47.66072,-122.31466,"(47.66072, -122.31466)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117396730,civic
Park District Oversight Committee Meeting,09/13/2016 06:30:00 PM,09/13/2016 09:00:00 PM,,http://www.seattle.gov/parks-and-recreation/about-us/park-district-oversight-committee,,,Shanyanika Burton ,Seattle Parks and Recreation ,206.233.7904 ,shanyanika.burton@seattle.gov,100 Dexter Ave N,47.61917,-122.34192,"(47.61917, -122.34192)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118359314,civic
Arboretum Botanical Garden Committee Meeting,09/14/2016 08:30:00 AM,09/14/2016 10:30:00 AM,Graham Visitors Center,http://depts.washington.edu/wpa/abgc/,,,Rachel Acosta ,,2066845066 ,rachel.acosta@seattle.gov,2300 Arboretum Dr E,47.63918,-122.29432,"(47.63918, -122.29432)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117687363,civic
"Gender Equity, Safe Communities & New Americans",09/14/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/gender-equity-safe-communities-and-new-americans,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551817,civic
Human Services & Public Health,09/14/2016 02:00:00 PM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/human-services-and-public-health,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551832,civic
Pike Place Market Historical Commission Meeting,09/14/2016 04:30:00 PM,09/14/2016 06:30:00 PM,,http://www.seattle.gov/neighborhoods/preservation/agendas.htm,,,Heather McAuliffe ,,684-0229 ,heather.mcauliffe@seattle.gov,PDA Meeting Room,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118731545,civic
"Seattle Public Utilities? Creeks, Drainage, and Wastewater and Water System Advisory Committees",09/14/2016 05:30:00 PM,09/14/2016 07:30:00 PM,Room 4901 ,http://www.seattle.gov/util/AboutUs/SPUandtheCommunity/CommunityAdvisoryCommitees/index.htm,,,Sheryl Shapiro ,,,sheryl.shapiro@seattle.gov,,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117711822,civic
Pedestrian Advisory Board,09/14/2016 06:00:00 PM,09/14/2016 08:00:00 PM,"City Hall, Room L280 ",http://www.seattle.gov/spab/,Monthly board meeting ,,Howard Wu ,,684-3902 ,howard.wu@seattle.gov,600 4TH Ave,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117711793,civic
Design Commission Meeting,09/15/2016 08:30:00 AM,09/15/2016 04:30:00 PM,,,The agenda for this meeting will be set one week in advance. ,,Valerie Kinast ,,206-233-7911 ,SDC_Administration@seattle.gov,Boards and Commissions Room,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d111420260,civic
"Parks, Seattle Center, Libraries & Waterfront",09/15/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117552118,civic
Seattle Commission for People with disAbilities,09/15/2016 04:00:00 PM,09/15/2016 06:00:00 PM,"Room L280, Boards and Commissions ",http://www.seattle.gov/disability/calendar.htm,,,Marta Idowu ,,206-684-4540 ,marta.idowu@seattle.gov,,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117676653,civic
Pet Loss Support Group,09/15/2016 05:30:00 PM,09/15/2016 06:45:00 PM,Upper Level Conference Room,http://www.seattle.gov/animalshelter/,,Seattle Animal Shelter Volunteers ,,Seattle Animal Shelter ,206-386-7387 ,,2061 15th Ave W,47.63837,-122.37654,"(47.63837, -122.37654)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117696026,civic
Council Briefing,09/19/2016 09:30:00 AM,09/19/2016 10:30:00 AM,"Seattle City Hall, Floor 2",http://seattle.legistar.com/DepartmentDetail.aspx?ID=28388&GUID=B6D0A66D-1D6F-4719-B460-A6CDA46778A6&Search=,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117546156,civic
Select Budget Committee,09/19/2016 10:30:00 AM,,,,,,,,,,600 4th Ave,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119005876,civic
Full Council,09/19/2016 02:00:00 PM,09/19/2016 03:00:00 PM,"Seattle City Hall, Floor 2",http://seattle.legistar.com/DepartmentDetail.aspx?ID=28340&GUID=E46BCBAD-A6DB-4A4B-AC5E-D2D659A4F94D&Search=,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117546223,civic
Seattle Women's Commission,09/19/2016 05:30:00 PM,09/19/2016 07:30:00 PM,Boards Commission Conference Room L-280 ,http://www.seattle.gov/womenscommission/,,,Marta Idowu ,,206-684-4540 ,marta.idowu@seattle.gov,,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118110817,civic
Expansion Area Urban Village Focus Group (Focus Group 1),09/19/2016 06:00:00 PM,09/19/2016 08:00:00 PM,Bertha Knight Landes ,,"The Expansion Area Urban Village covers 130th & I-5, Columbia City, Crown Hill, Green Lake/Roosevelt, North Beacon Hill, Othello, Rainier Beach<br /> <br /> HALA Community Focus Groups are a sounding board to give focused feedback to the City and general public. There will be particular focus on how Mandatory Housing Affordability (MHA) would be applied in neighborhood areas. <ul> <li>Focus groups consist of 4 - 6 representatives from each Urban Village and adjacent neighborhood area in Seattle. </li><li>There are four focus groups, each comprised of about 40 community members </li><li>Each reflects a broad range of perspectives </li><li>Focus groups meet monthly starting in May 2016, and are facilitated by an independent third party </li><li>Groups conduct a detailed review of land use changes to implement Mandatory Housing Affordability (MHA) </li><li>&#8226; Meetings and conversations are transparent and open to the public </li><li>Participants are encouraged to relay information to their home neighborhoods </li></ul> <br /> The general public is welcome to attend. ",,Jesseca Brand ,,206-733-9982 ,Jesseca.Brand@seattle.gov,"Seattle, WA 98104",,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119149239,civic
Board of Park Commissioners Meeting,09/22/2016 06:30:00 PM,09/22/2016 09:00:00 PM,,http://www.seattle.gov/parks-and-recreation/about-us/board-of-park-commissioners,"The Seattle Board of Park Commissioners is a volunteer advisory board established by ordinance. The Board consults with and makes recommendations to City Council, the Mayor, and the Superintendent regarding the Parks and Recreation Department&#39;s policies for the planning, development and use of the City&#39;s park and recreation facilities. ",,Rachel Acosta ,,2066845066 ,rachel.acosta@seattle.gov,100 Dexter Ave N,47.61917,-122.34192,"(47.61917, -122.34192)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118179164,civic
Seattle School Traffic Safety Committee,09/23/2016 08:30:00 AM,09/23/2016 10:30:00 AM,John Stanford Center for Educational Excellence ,,,,Ashley Rhead ,,206-684-7577 ,Ashley.Rhead@seattle.gov,2445 3rd Ave S,47.5805,-122.33032,"(47.5805, -122.33032)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117676478,civic
International Special Review District Board Meeting,09/24/2016 04:30:00 PM,09/24/2016 06:30:00 PM,409 Maynard Ave. S.,http://www.seattle.gov/neighborhoods/preservation/agendas.htm,,,Rebecca Frestedt ,,684-0226 ,rebecca.frestedt@seattle.gov,"IDEA Space, Lower Level",,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118731236,civic
Council Briefing,09/26/2016 09:30:00 AM,09/26/2016 10:30:00 AM,"Seattle City Hall, Floor 2",http://seattle.legistar.com/DepartmentDetail.aspx?ID=28388&GUID=B6D0A66D-1D6F-4719-B460-A6CDA46778A6&Search=,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117546157,civic
Full Council,09/26/2016 02:00:00 PM,09/26/2016 03:00:00 PM,"Seattle City Hall, Floor 2",http://seattle.legistar.com/DepartmentDetail.aspx?ID=28340&GUID=E46BCBAD-A6DB-4A4B-AC5E-D2D659A4F94D&Search=,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117546224,civic
Lower Density Urban Village Focus Group (Focus Group 4),09/26/2016 06:00:00 PM,09/26/2016 08:00:00 PM,Room L280 ,http://www.seattle.gov/hala/focus-groups,"The Lower Density Urban Village covers Greenwood/Phinney Ridge, Madison-Miller, Morgan Junction, Ravenna, South Park, Upper Queen Anne, Wallingford, Westwood-Highland Park, Outside area: Magnolia, Sand Point<br /> <br /> HALA Community Focus Groups are a sounding board to give focused feedback to the City and general public. There will be particular focus on how Mandatory Housing Affordability (MHA) would be applied in neighborhood areas. <ul> <li>Focus groups consist of 4 - 6 representatives from each Urban Village and adjacent neighborhood area in Seattle. </li><li>There are four focus groups, each comprised of about 40 community members </li><li>Each reflects a broad range of perspectives </li><li>Focus groups meet monthly starting in May 2016, and are facilitated by an independent third party </li><li>Groups conduct a detailed review of land use changes to implement Mandatory Housing Affordability (MHA) </li><li>&#8226; Meetings and conversations are transparent and open to the public </li><li>Participants are encouraged to relay information to their home neighborhoods </li></ul> <br /> The general public is welcome to attend. ",,Jesseca Brand ,,206-733-9982 ,Jesseca.Brand@seattle.gov,"Seattle, WA 98104",,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119149365,civic
"Civil Rights, Utilities, Economic Development & Arts",09/27/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/herbold,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551934,civic
"Planning, Land Use & Zoning",09/20/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/johnson/,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551897,civic
Freight Advisory Board,09/20/2016 09:30:00 AM,09/20/2016 11:30:00 AM,,http://www.seattle.gov/sfab/default.htm,,,Chris Eaves ,,,,600 4th Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117677083,civic
Sustainability & Transportation,09/20/2016 02:00:00 PM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/obrien/,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551957,civic
Chinatown-ID Neighborhood Block Watch,09/20/2016 06:00:00 PM,09/20/2016 07:30:00 PM,,http://www.scidpda.org/what-we-do/community-engagement/idea-space,,Seattle Chinatown International Development Preservation Development Authority ,Sokha Danh ,,206-838-8718 ,sokhad@scidpda.org,409 Maynard Ave S,47.59886,-122.32544,"(47.59886, -122.32544)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d113786493,civic
Pioneer Square Preservation Board,09/21/2016 09:00:00 AM,09/21/2016 11:00:00 AM,,http://www.seattle.gov/neighborhoods/preservation/agendas.htm,,,Genna Nashem ,,684-0227 ,genna.nashem@seattle.gov,600 4th Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118730650,civic
"Affordable Housing, Neigborhoods & Finance",09/21/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/affordable-housing-neighborhoods-and-finance,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117547701,civic
"Education, Equity & Governance",09/21/2016 02:00:00 PM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/education-equity-and-governance,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551774,civic
Landmarks Preservation Board,09/21/2016 03:30:00 PM,09/21/2016 05:30:00 PM,,http://www.seattle.gov/neighborhoods/preservation/agendas.htm,,,Erin Doherty ,,684-0380 ,erin.doherty@seattle.gov,"600 4th Avenue, L280",,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118730379,civic
Seattle Planning Commission Meeting,09/22/2016 07:30:00 AM,09/22/2016 09:00:00 AM,Room L280 ,http://www.seattle.gov/planningcommission/meetings.htm,,,Robin Magonegil ,,206-684-8694 ,robin.magonegil@seattle.gov,,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117673598,civic
Pet Loss Support Group,09/22/2016 05:30:00 PM,09/22/2016 06:45:00 PM,Upper Level Conference Room,http://www.seattle.gov/animalshelter/,,Seattle Animal Shelter Volunteers ,,Seattle Animal Shelter ,206-386-7387 ,,2061 15th Ave W,47.63837,-122.37654,"(47.63837, -122.37654)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117696027,civic
Medium Density Urban Village Focus Group (Focus Group 3),09/22/2016 06:00:00 PM,09/22/2016 08:00:00 PM,Room L280 ,http://www.seattle.gov/hala/focus-groups,"The Medium Density Urban Village covers 12th Ave, 23rd & Union Jackson, Admiral, Aurora-Licton Springs, Bitter Lake Village, Eastlake, Fremont, North Rainier, Uptown<br /> <br /> HALA Community Focus Groups are a sounding board to give focused feedback to the City and general public. There will be particular focus on how Mandatory Housing Affordability (MHA) would be applied in neighborhood areas. <ul> <li>Focus groups consist of 4 - 6 representatives from each Urban Village and adjacent neighborhood area in Seattle. </li><li>There are four focus groups, each comprised of about 40 community members </li><li>Each reflects a broad range of perspectives </li><li>Focus groups meet monthly starting in May 2016, and are facilitated by an independent third party </li><li>Groups conduct a detailed review of land use changes to implement Mandatory Housing Affordability (MHA) </li><li>&#8226; Meetings and conversations are transparent and open to the public </li><li>Participants are encouraged to relay information to their home neighborhoods </li></ul> <br /> The general public is welcome to attend. ",,Jesseca Brand ,,206-733-9982 ,Jesseca.Brand@seattle.gov,"Seattle, WA 98104",,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119149306,civic
Wild Nearby,08/28/2016 10:00:00 AM,08/28/2016 05:00:00 PM,,http://www.burkemuseum.org/wildnearby,"Few places on earth rival the rugged beauty and biological diversity of Washington state&#8217;s North Cascades wilderness. Immerse yourself in the sights, sounds and stories of the North Cascades&#39; people, plants and animals at the Burke&#8217;s latest exhibit,&#160;Wild Nearby. ",Burke Museum ,Andrea Godinez ,,206-616-7538 ,burkepr@uw.edu,17th Ave NE & NE 45th St,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119089936,community
miniMOHAI,08/29/2016 10:00:00 AM,08/29/2016 01:00:00 PM,,http://www.mohai.org/,"miniMOHAI is back! Come to the MOHAI every Monday this summer for this weekly drop-in program for kids 3 to 5 years old and their caregivers. Explore a variety of interactive pop-up exhibits around the museum all about life in the city, with math and patterns activities, dramatic play, storybooks and more. ", Industry (MOHAI) ,MOHAI Education ,,,education@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118742206,community
Wild Nearby,09/06/2016 10:00:00 AM,09/06/2016 05:00:00 PM,,http://www.burkemuseum.org/wildnearby,"Few places on earth rival the rugged beauty and biological diversity of Washington state&#8217;s North Cascades wilderness. Immerse yourself in the sights, sounds and stories of the North Cascades&#39; people, plants and animals at the Burke&#8217;s latest exhibit,&#160;Wild Nearby. ",Burke Museum ,Andrea Godinez ,,206-616-7538 ,burkepr@uw.edu,17th Ave NE & NE 45th St,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119089945,community
Energy & Environment,09/27/2016 02:00:00 PM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/energy-and-environment,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117547889,civic
Chinatown-ID Neighborhood Block Watch,09/27/2016 06:00:00 PM,09/27/2016 07:30:00 PM,,http://www.scidpda.org/what-we-do/community-engagement/idea-space,,Seattle Chinatown International Development Preservation Development Authority ,Sokha Danh ,,206-838-8718 ,sokhad@scidpda.org,409 Maynard Ave S,47.59886,-122.32544,"(47.59886, -122.32544)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d113786494,civic
Hub Urban Village Focus Group (Focus Group 2),09/27/2016 06:00:00 PM,09/27/2016 08:00:00 PM,Room L280 ,http://www.seattle.gov/hala/focus-groups,"The Hub Urban Village Focus covers Ballard, Capitol Hill / Pike-Pine, First Hill, Lake City, Northgate, University District, West Seattle Junction, Outside area: Delridge<br /> <br /> HALA Community Focus Groups are a sounding board to give focused feedback to the City and general public. There will be particular focus on how Mandatory Housing Affordability (MHA) would be applied in neighborhood areas. <ul> <li>Focus groups consist of 4 - 6 representatives from each Urban Village and adjacent neighborhood area in Seattle. </li><li>There are four focus groups, each comprised of about 40 community members </li><li>Each reflects a broad range of perspectives </li><li>Focus groups meet monthly starting in May 2016, and are facilitated by an independent third party </li><li>Groups conduct a detailed review of land use changes to implement Mandatory Housing Affordability (MHA) </li><li>&#8226; Meetings and conversations are transparent and open to the public </li><li>Participants are encouraged to relay information to their home neighborhoods </li></ul> <br /> The general public is welcome to attend. ",,Jesseca Brand ,,206-733-9982 ,Jesseca.Brand@seattle.gov,"Seattle, WA 98104",,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119149268,civic
"Gender Equity, Safe Communities & New Americans",09/28/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/gender-equity-safe-communities-and-new-americans,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117548043,civic
Human Services & Public Health,09/28/2016 02:00:00 PM,,"Seattle City Hall, Floor 2",,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117548302,civic
Pike Place Market Historical Commission,09/28/2016 04:30:00 PM,09/28/2016 06:30:00 PM,,http://www.seattle.gov/neighborhoods/preservation/agendas.htm,,,Heather McAuliffe ,,684-0229 ,heather.mcauliffe@seattle.gov,PDA Meeting Room,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d113998156,civic
Transit Advisory Board Meeting,09/28/2016 06:00:00 PM,09/28/2016 08:00:00 PM, Commissions Room L280 ,,Regular monthly meeting of the Transit Advisory Board ,SDOT ,Benjamin Smith ,,206-684-4209 ,TransitBoard@seattle.gov,601 5th Ave,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117711806,civic
Pet Loss Support Group,09/29/2016 05:30:00 PM,09/29/2016 06:45:00 PM,Upper Level Conference Room,http://www.seattle.gov/animalshelter/,,Seattle Animal Shelter Volunteers ,,Seattle Animal Shelter ,206-386-7387 ,,2061 15th Ave W,47.63837,-122.37654,"(47.63837, -122.37654)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117696028,civic
Coffee with Commissioners,10/02/2016 02:00:00 PM,10/02/2016 03:30:00 PM,,https://www.facebook.com/events/1002499889815108/,Join the Seattle LGBT Commission for coffee and light refreshments for the first in a series of library events providing an opportunity for you to get to know the Commission and the work that they do.<br /> <br /> The Commissioners will provide a panel presentation and then open the floor up to Q-and-A.<br /> <br /> <strong>Focus:</strong> LGBTQ Native & Indigenous People & Two-Spirit People ,, Carpenter ,,,LGBT.Commissioner.Lulu@gmail.com,1000 Fourth Ave,47.60649,-122.33297,"(47.60649, -122.33297)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119185017,civic
Council Briefing,10/03/2016 09:30:00 AM,10/03/2016 10:30:00 AM,"Seattle City Hall, Floor 2",http://seattle.legistar.com/DepartmentDetail.aspx?ID=28388&GUID=B6D0A66D-1D6F-4719-B460-A6CDA46778A6&Search=,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117546158,civic
Full Council,10/03/2016 02:00:00 PM,10/03/2016 03:00:00 PM,"Seattle City Hall, Floor 2",http://seattle.legistar.com/DepartmentDetail.aspx?ID=28340&GUID=E46BCBAD-A6DB-4A4B-AC5E-D2D659A4F94D&Search=,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117546225,civic
"Planning, Land Use & Zoning",10/04/2016 09:30:00 AM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/planning-land-use-and-zoning,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117551871,civic
Sustainability & Transportation,10/04/2016 02:00:00 PM,,"Seattle City Hall, Floor 2",http://www.seattle.gov/council/committees/sustainability-and-transportation,,,,,,,600 Fourth Avenue,47.60377,-122.32971,"(47.60377, -122.32971)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117548839,civic
A Beautiful Safe Place for Youth: Intervention Team meeting,10/04/2016 05:00:00 PM,10/04/2016 06:00:00 PM,,http://safeplaceforyouth.weebly.com/,Help us integrate A Beautiful Safe Place for Youth interventions with other neighborhood activities to optimize our efforts to reduce crime that affects youth. ,,Barb Biondo ,,(206) 322-6134 ,barb@sngi.org,8825 Rainier Ave S,47.52472,-122.27074,"(47.52472, -122.27074)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d116733705,civic
Immigrant and Refugee Commission,10/04/2016 06:00:00 PM,10/04/2016 08:00:00 PM,Room 370 ,http://www.seattle.gov/IandRcommission/,,Office of Immigrant and Refugee Affairs ,Maha Jahshan ,,206-615-0195 ,Maha.Jahshan@seattle.gov,,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d117672906,civic
Chinatown-ID Neighborhood Block Watch,10/04/2016 06:00:00 PM,10/04/2016 07:30:00 PM,,http://www.scidpda.org/what-we-do/community-engagement/idea-space,,Seattle Chinatown International Development Preservation Development Authority ,Sokha Danh ,,206-838-8718 ,sokhad@scidpda.org,409 Maynard Ave S,47.59886,-122.32544,"(47.59886, -122.32544)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d113786495,civic
"Toys of the '50s, '60s and '70s",09/02/2016 10:00:00 AM,09/02/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798636,community
Wild Nearby,09/02/2016 10:00:00 AM,09/02/2016 05:00:00 PM,,http://www.burkemuseum.org/wildnearby,"Few places on earth rival the rugged beauty and biological diversity of Washington state&#8217;s North Cascades wilderness. Immerse yourself in the sights, sounds and stories of the North Cascades&#39; people, plants and animals at the Burke&#8217;s latest exhibit,&#160;Wild Nearby. ",Burke Museum ,Andrea Godinez ,,206-616-7538 ,burkepr@uw.edu,17th Ave NE & NE 45th St,,,,http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d119089941,community
"Toys of the '50s, '60s and '70s",09/03/2016 10:00:00 AM,09/03/2016 05:00:00 PM,,http://www.mohai.org/toys,"Gumby. Barbie. Slinky. Mr. Potato Head. Wham-O. Spirograph. These popular toys capture the craziness, joy, and sheer fun of being a kid. But beneath those nutty names are rich veins of nostalgia, memory, and history. Channel your inner child during the West Coast premiere of Toys of the &#8216;50s, &#8216;60s and &#8216;70s. #MOHAItoys ", Industry (MOHAI) ,MOHAI ,,206-324-1126 ,information@mohai.org,860 Terry Ave N,47.62759,-122.33661,"(47.62759, -122.33661)",http://www.seattle.gov/living-in-seattle/event-calendar?trumbaEmbed=view%3devent%26eventid%3d118798637,community
